poi_id,poi_name,category,category_alt,address,locality,postcode,region,country,source,latitude,longitude,easting,northing,lsoa21cd,geometry
08f195da491338300310f3dbcad9d980,A Space For Art,art_gallery,arts_and_entertainment,11 Maddox Street,London,W1S 1,ENG,GB,meta,51.5133023,-0.1416851,529048.5204671684,181011.894787332,E01035716,POINT (529048.5204671684 181011.89478733193)
08f195da4835570b0320a6af5e50f5e6,A&D Gallery,art_gallery,arts_and_entertainment,51 Chiltern Street,London,W1U 4,ENG,GB,meta,51.5199991,-0.1555338,528068.8385123152,181732.29639007585,E01004712,POINT (528068.8385123152 181732.29639007582)
08f194e69a0eba1803bada4840373100,A-side B-side Gallery,art_gallery,modern_art_museum|arts_and_entertainment,352 Mare Street,London,E8 1HR,ENG,GB,meta,51.547332,-0.054586,534991.3546525654,184953.1498631737,E01001760,POINT (534991.3546525654 184953.14986317378)
08f194ad2618eaa003eafb60d7374619,AB Fine Art Foundry Ltd,art_gallery,landmark_and_historical_building|event_photography,1 Fawe Street,London,E14 6,ENG,GB,meta,51.5173266,-0.0156923,537778.4972956802,181688.9223259202,E01035678,POINT (537778.4972956802 181688.9223259202)
08f194e69aa8d82203dbb0a310677a09,ANDOR,art_gallery,arts_and_entertainment,20 Rosina Street,London,E9 6,ENG,GB,meta,51.5476244,-0.0457282,535604.6307385189,185002.03689022444,E01001729,POINT (535604.6307385189 185002.03689022444)
08f194e69a9641b4038aa4fd21bc7918,ARH Conservation,art_gallery,museum|arts_and_entertainment,200 Millfields Road,London,E5 0AR,ENG,GB,meta,51.558065,-0.0408,535915.2184465232,186172.202739666,E01001786,POINT (535915.2184465232 186172.20273966598)
08f195da4164534c03c18a95e3c139b1,ART,art_gallery,arts_and_entertainment|tattoo_and_piercing,,London,,,GB,meta,51.5556733,-0.1765107,526514.6561106343,185662.9594307232,E01000895,POINT (526514.6561106343 185662.95943072322)
08f194ad30d68a4503a3c487c013c657,ART NAKED,art_gallery,arts_and_entertainment,54 Folgate Street,London,E1 6UN,ENG,GB,meta,51.5202635,-0.0754638,533622.9980511493,181904.75580195588,E01004307,POINT (533622.9980511493 181904.75580195588)
08f194ad3668b86e0377173d3e0fd794,ARTANGEL,art_gallery,arts_and_entertainment|charity_organization,31 Eyre Street Hill,London,EC1R 5EW,ENG,GB,meta,51.522979,-0.110643,531174.6316291427,182143.12668253703,E01000916,POINT (531174.6316291427 182143.12668253703)
08f194ad14305d6c032533b4ed5f53df,ASC Gallery,art_gallery,arts_and_entertainment,3 Loughborough Street,London,SE11 5RB,ENG,GB,meta,51.4872834,-0.1152412,530957.8673957256,178165.43535052205,E01033863,POINT (530957.8673957256 178165.43535052205)
08f194ad30d2980a03ad0711662d22f9,AUGUST,art_gallery,eat_and_drink|arts_and_entertainment,224 Shoreditch High Street,London,E1 6,ENG,GB,meta,51.5226234,-0.0780553,533436.3193090189,182162.4582744831,E01033708,POINT (533436.3193090189 182162.4582744831)
08f194ad160abc4a03ac4b6cf19e4b0e,Aabru Art,art_gallery,arts_and_entertainment,2 Sloane Court East,London,SW3 4,ENG,GB,meta,51.4897963,-0.157254,528034.057941699,178370.62380972627,E01002902,POINT (528034.057941699 178370.62380972627)
08f194ad13145d2603d5237ed0b2e855,Abbeville Art,art_gallery,arts_and_entertainment,42 Abbeville Road,London,SW4 9NG,ENG,GB,meta,51.4543985,-0.1397687,529347.9255701908,174464.98276873212,E01003026,POINT (529347.9255701908 174464.98276873212)
08f195da4d2e993603c1bb434594e5d6,Abbott and Holder,art_gallery,arts_and_crafts|arts_and_entertainment,30 Museum Street,London,WC1A 1LH,ENG,GB,meta,51.5179011,-0.1258769,530132.2961585465,181551.26870204383,E01000918,POINT (530132.2961585465 181551.26870204386)
08f194ad234da4dc031a0df1dc98be88,Actor Expo,art_gallery,performing_arts|topic_concert_venue,"Faircharm Trading Estate, 8-12 Creekside",,SE8 3DX,,GB,meta,51.4774663,-0.020194,537586.0659087042,177247.93046283687,E01032579,POINT (537586.0659087042 177247.93046283687)
08f194ac20d913350349d1151acf95b2,Adel Infinity Mirrors,art_gallery,arts_and_entertainment,,London,,,GB,meta,51.3745207,-0.0822955,533573.357829567,165685.458958617,E01001050,POINT (533573.357829567 165685.458958617)
08f194ad14b22935033a3dad11d4ae4e,Advanced Graphics London,art_gallery,arts_and_entertainment,153 Kennington Road,London,SE11 6SF,ENG,GB,meta,51.4937454,-0.1106765,531256.2288795143,178892.19708493864,E01003110,POINT (531256.2288795143 178892.19708493864)
08f194ada315138003bb050c5f650629,Affordable Art Fair,art_gallery,art_museum|arts_and_entertainment,1 Faulkner House,London,SW15 1,ENG,GB,meta,51.468527,-0.226917,523255.1509751567,175885.95469693572,E01004605,POINT (523255.1509751567 175885.95469693572)
08f194ad14af036503c6e55da2e3f4c4,Affordable Art Fair UK,art_gallery,arts_and_entertainment,170 Kennington Lane,London,SE11 5,ENG,GB,meta,51.48812,-0.11189,531188.1273296901,178264.46281287866,E01003107,POINT (531188.1273296901 178264.46281287866)
08f194ada40332a303adcca13c3f2bc4,After Nyne Contemporary,art_gallery,arts_and_entertainment,,,W11 4LA,,GB,meta,51.507259,-0.207938,524467.9082305446,180225.20278327004,E01002871,POINT (524467.9082305446 180225.20278327004)
08f195da490607a60342de3a70367d34,Aktis Gallery,art_gallery,arts_and_entertainment|tattoo_and_piercing,50 Jermyn Street,London,SW1Y 6LX,ENG,GB,meta,51.5078924,-0.1385827,529279.0859151185,180415.7649895834,E01004736,POINT (529279.0859151185 180415.7649895834)
08f194ad115299ab03c01e01162b1053,Almanac,art_gallery,community_services_non_profits|arts_and_entertainment,41 Acre Lane,London,SW2 5,ENG,GB,meta,51.4597996,-0.1208761,530645.0938814472,175099.10482631763,E01003020,POINT (530645.0938814472 175099.10482631763)
08f195da68371a4d0301559a261b98ce,Alvarado Gallery,art_gallery,arts_and_entertainment|topic_concert_venue,,,N5 1HA,,GB,meta,51.5600574,-0.0986624,531898.5733276287,186287.90546974348,E01002747,POINT (531898.5733276287 186287.90546974348)
08f195da4832caf40305d80713f04110,Ambika P3,art_gallery,topic_concert_venue,35 Marylebone Road,London,NW1 5,ENG,GB,meta,51.5222905,-0.1552319,528083.3593433537,181987.6373013503,E01004712,POINT (528083.3593433537 181987.6373013503)
08f194ad1467061803cda1eb6171600f,Amstel Art Gallery,art_gallery,museum|arts_and_entertainment,unit 7 St.George Wharf,London,SW8 2LE,,GB,meta,51.485689,-0.125072,530279.8976367884,177970.60785543424,E01033208,POINT (530279.8976367884 177970.60785543424)
08f194ad06a3528103b95a7c56d43e0d,Anatomie Studio,art_gallery,topic_concert_venue|arts_and_entertainment,"113 / Unit, Arch, 17 Station Passage",,SE15 2JR,,GB,meta,51.4750457,-0.0565567,535068.1879799775,176911.1040927937,E01004004,POINT (535068.1879799775 176911.1040927937)
08f195da49c5ad4303857cb46bbe0b3d,Annely Juda Fine Art,art_gallery,art_museum,23 Dering Street,London,W1S 1AW,ENG,GB,meta,51.514278,-0.145609,528773.505866224,181113.4900746381,E01035716,POINT (528773.505866224 181113.4900746381)
08f195da498a908c03ab429e44c33192,Anthony Reynolds Gallery,art_gallery,arts_and_entertainment|topic_concert_venue,60 Great Marlborough Street,London,W1F 7BG,ENG,GB,meta,51.514662,-0.137315,529347.8972341396,181170.80718060443,E01035716,POINT (529347.8972341396 181170.80718060443)
08f194adb5203940035798ee462792d0,Apartment Art Gallery London,art_gallery,art_museum|modern_art_museum,31 Ravenscroft Road,London,W4 5,ENG,GB,meta,51.49562,-0.26756,520360.9900626392,178831.26534324774,E01032572,POINT (520360.99006263923 178831.26534324774)
08f194ada005268a031dbd85aacf96bf,Apothecary Gallery CIC,art_gallery,community_services_non_profits|arts_and_entertainment,33 Greyhound Road,London,W6 8NH,ENG,GB,meta,51.48518,-0.2184832,523795.8650750892,177752.0539253808,E01001890,POINT (523795.8650750892 177752.0539253808)
08f194ad140b542803a8bbebca458fb0,Apricats Illustrations,art_gallery,arts_and_entertainment,,City of Westminster,,,GB,meta,51.4930801,-0.12659,530153.4723367164,178789.82304545335,E01035719,POINT (530153.4723367164 178789.82304545335)
08f194ada429c2e903d81c1d629479dc,Arafonts,art_gallery,internet_service_provider|arts_and_entertainment,,London,,,GB,meta,51.4980805,-0.2083257,524465.987534152,179203.8539593935,E01002867,POINT (524465.987534152 179203.8539593935)
08f194ad047a608603925ab2794369aa,Arch Gallery,art_gallery,arts_and_entertainment,,London,,,GB,meta,51.4755056,-0.0468172,535743.1707853893,176980.24295682076,E01003299,POINT (535743.1707853893 176980.24295682076)
